Energy XANES
390.5177001953125 8.862378308549523e-06
390.5377197265625 8.887998774298467e-06
390.5577087402344 8.913708370528184e-06
390.57769775390625 8.939541658037342e-06
390.59771728515625 8.965541383076925e-06
390.6177062988281 8.991628419607878e-06
390.6377258300781 9.017882803163957e-06
390.65771484375 9.044225407706108e-06
390.6777038574219 9.070698069990613e-06
390.6977233886719 9.09734171727905e-06
390.71771240234375 9.124074495048262e-06
390.73773193359375 9.15098007681081e-06
390.7577209472656 9.177976608043537e-06
390.7777099609375 9.205105925502721e-06
390.7977294921875 9.232410775439348e-06
390.8177185058594 9.259808393835556e-06
390.83770751953125 9.287343345931731e-06
390.85772705078125 9.315053830505349e-06
390.8777160644531 9.342862540506758e-06
390.897705078125 9.370809493702836e-06
390.917724609375 9.398937436344568e-06
390.9377136230469 9.427165423403494e-06
390.95770263671875 9.455536201130599e-06
390.97772216796875 9.484094334766269e-06
390.9977111816406 9.512751603324432e-06
391.0177307128906 9.541602594254073e-06
391.0377197265625 9.570557267579716e-06
391.0577087402344 9.599658369552344e-06
391.0777282714844 9.628955922380555e-06
391.09771728515625 9.658361705078278e-06
391.1177062988281 9.687917554401793e-06
391.1377258300781 9.717675311549101e-06
391.15771484375 9.747542208060622e-06
391.177734375 9.777610102901235e-06
391.1977233886719 9.807788956095465e-06
391.2177429199219 9.838171536102891e-06
391.23773193359375 9.868666893453337e-06
391.2577209472656 9.899321412376594e-06
391.2777404785156 9.930181477102451e-06
391.2977294921875 9.961157957150135e-06
391.3177185058594 9.992296327254735e-06
391.3377380371094 1.0023644790635444e-05
391.35772705078125 1.0055110578832682e-05
391.3777160644531 1.0086741895065643e-05
391.3977355957031 1.0118589671037626e-05
391.417724609375 1.0150554771826137e-05
391.4377136230469 1.0182688129134476e-05
391.4577331542969 1.0215046131634153e-05
391.47772216796875 1.0247526006423868e-05
391.49774169921875 1.0280227797920816e-05
391.5177307128906 1.031305600918131e-05
391.5377197265625 1.0346060662413947e-05
391.5577392578125 1.0379297236795537e-05
391.5777282714844 1.0412660230940674e-05
391.59771728515625 1.0446208762004972e-05
391.61773681640625 1.0479992852197029e-05
391.6377258300781 1.0513907909626141e-05
391.65771484375 1.054801123245852e-05
391.677734375 1.0582354661892168e-05
391.6977233886719 1.0616836334520485e-05
391.7177429199219 1.065156266122358e-05
391.73773193359375 1.068643086910015e-05
391.75775146484375 1.0721544640546199e-05
391.7777404785156 1.0756800293165725e-05
391.7977294921875 1.0792253306135535e-05
391.8177490234375 1.0827957339643035e-05
391.8377380371094 1.0863808711292222e-05
391.85772705078125 1.0899862900259905e-05
391.87774658203125 1.0936172657238785e-05
391.8977355957031 1.0972629752359353e-05
391.917724609375 1.1009295121766627e-05
391.937744140625 1.1046224244637415e-05
391.9577331542969 1.1083305253123399e-05
391.9777526855469 1.1120653653051704e-05
391.99774169921875 1.1158158486068714e-05
392.0177307128906 1.1195877959835343e-05
392.0377502441406 1.1233870282012504e-05
392.0577392578125 1.1272026313235983e-05
392.0777282714844 1.1310400623187888e-05
392.0977478027344 1.1349055967002641e-05
392.11773681640625 1.1387875929358415e-05
392.1377258300781 1.1426924174884334e-05
392.1577453613281 1.1466261639725417e-05
392.177734375 1.150576827058103e-05
392.1977233886719 1.1545506822585594e-05
392.2177429199219 1.1585540960368235e-05
392.2377624511719 1.1625812476268038e-05
392.25775146484375 1.166625770565588e-05
392.2777404785156 1.1706944860634394e-05
392.2977600097656 1.1747937605832703e-05
392.3177490234375 1.1789109521487262e-05
392.3377380371094 1.18305270007113e-05
392.3577575683594 1.1872254617628641e-05
392.37774658203125 1.1914169590454549e-05
392.3977355957031 1.1956335583818145e-05
392.4177551269531 1.199881899083266e-05
392.437744140625 1.204149430122925e-05
392.4577331542969 1.2084427908121143e-05
392.4777526855469 1.212768711411627e-05
392.49774169921875 1.2171143680461682e-05
392.51776123046875 1.2214934031362645e-05
392.5377502441406 1.22589253805927e-05
392.5577392578125 1.2303187759243883e-05
392.5777587890625 1.2347791198408231e-05
392.5977478027344 1.239260564034339e-05
392.61773681640625 1.2437698387657292e-05
392.63775634765625 1.2483144018915482e-05
392.6577453613281 1.252880429092329e-05
392.677734375 1.2574751963256858e-05
392.69775390625 1.262106070498703e-05
392.7177429199219 1.2667593182413839e-05
