Energy XES
356.9051208496094 6.8814952101092786e-06
356.9251403808594 6.89070429871208e-06
356.94512939453125 6.8999224822619e-06
356.96514892578125 6.909176590852439e-06
356.9851379394531 6.918437065905891e-06
357.005126953125 6.927720278326888e-06
357.025146484375 6.9370371420518495e-06
357.0451354980469 6.946358098502969e-06
357.06512451171875 6.9556981543428265e-06
357.08514404296875 6.965070042497246e-06
357.1051330566406 6.974445568630472e-06
357.1251220703125 6.983837920415681e-06
357.1451416015625 6.993262104515452e-06
357.1651306152344 7.002689471846679e-06
357.1851501464844 7.01214958098717e-06
357.20513916015625 7.0216133281064685e-06
357.2251281738281 7.0310939008777495e-06
357.2451477050781 7.040607670205645e-06
357.26513671875 7.050124622764997e-06
357.2851257324219 7.0596597652183846e-06
357.3051452636719 7.069228104228387e-06
357.32513427734375 7.078800535964547e-06
357.3451232910156 7.088391612342093e-06
357.3651428222656 7.098017704265658e-06
357.3851318359375 7.107651072146837e-06
357.4051513671875 7.117319910321385e-06
357.4251403808594 7.126996024453547e-06
357.44512939453125 7.136696240195306e-06
357.46514892578125 7.1464351094618905e-06
357.4851379394531 7.156182618928142e-06
357.5051574707031 7.165968781919219e-06
357.525146484375 7.175763585109962e-06
357.5451354980469 7.1855833994050045e-06
357.5651550292969 7.1954400482354686e-06
357.58514404296875 7.205304427770898e-06
357.6051330566406 7.215190180431819e-06
357.6251525878906 7.225112767628161e-06
357.6451416015625 7.235040357045364e-06
357.6651611328125 7.245002962008584e-06
357.6851501464844 7.254970114445314e-06
357.70513916015625 7.264954547281377e-06
357.72515869140625 7.274973086168757e-06
357.7451477050781 7.284994353540242e-06
357.76513671875 7.295033810805762e-06
357.78515625 7.3051060098805465e-06
357.8051452636719 7.315182301681489e-06
357.82513427734375 7.3252767833764665e-06
357.84515380859375 7.335407190112164e-06
357.8651428222656 7.3455435085634235e-06
357.8851318359375 7.355700745392824e-06
357.9051513671875 7.365897999989102e-06
357.9251403808594 7.376103440037696e-06
357.9451599121094 7.386347988358466e-06
357.96514892578125 7.396603905363008e-06
357.9851379394531 7.4068848334718496e-06
358.0051574707031 7.41720623409492e-06
358.025146484375 7.42753809390706e-06
358.045166015625 7.437911335728131e-06
358.0651550292969 7.448293217748869e-06
358.08514404296875 7.4586978371371515e-06
358.10516357421875 7.469142019544961e-06
358.1251525878906 7.479591658920981e-06
358.1451416015625 7.4900635809171945e-06
358.1651611328125 7.5005732469435316e-06
358.1851501464844 7.5110874604433775e-06
358.2051696777344 7.521638053731294e-06
358.22515869140625 7.53219319449272e-06
358.2451477050781 7.542770163126988e-06
358.2651672363281 7.5533835115493275e-06
358.28515625 7.564000497950474e-06
358.3051452636719 7.574640221719164e-06
358.3251647949219 7.5853181442653295e-06
358.34515380859375 7.596002433274407e-06
358.3651428222656 7.606709459651029e-06
358.3851623535156 7.6174565037945285e-06
358.4051513671875 7.6282108238956425e-06
