Energy XAS
389.1651611328125 7.055525202304125e-06
389.1851501464844 7.072167591104517e-06
389.2051696777344 7.088899565133033e-06
389.22515869140625 7.105671556928428e-06
389.2451477050781 7.122510851331754e-06
389.2651672363281 7.139442459447309e-06
389.28515625 7.156413175835041e-06
389.3051452636719 7.173452559072757e-06
389.3251647949219 7.1905856202647556e-06
389.34515380859375 7.2077605182130355e-06
389.3651428222656 7.225003173516598e-06
389.3851623535156 7.242342235258548e-06
389.4051513671875 7.259724952746183e-06
389.4251708984375 7.2772049861669075e-06
389.4451599121094 7.294729130080668e-06
389.46514892578125 7.312324669328518e-06
389.48516845703125 7.330019798246212e-06
389.5051574707031 7.347759947151644e-06
389.525146484375 7.365572400885867e-06
389.545166015625 7.383485353784636e-06
389.5651550292969 7.401445145660546e-06
389.5851745605469 7.419506800943054e-06
389.60516357421875 7.437614840455353e-06
389.6251525878906 7.455797458533198e-06
389.6451721191406 7.474083304259693e-06
389.6651611328125 7.49241598896333e-06
389.6851806640625 7.51085281081032e-06
389.7051696777344 7.5293355621397495e-06
389.72515869140625 7.547895165771479e-06
389.74517822265625 7.566560270788614e-06
389.7651672363281 7.585273579024943e-06
389.78515625 7.604063739563571e-06
389.80517578125 7.622960765729658e-06
389.8251647949219 7.641908268851694e-06
389.84515380859375 7.660933988518082e-06
389.86517333984375 7.680067028559279e-06
389.8851623535156 7.699252819293179e-06
389.9051818847656 7.71854683989659e-06
389.9251708984375 7.737892701698001e-06
389.9451599121094 7.757322237011977e-06
389.9651794433594 7.776862730679568e-06
389.98516845703125 7.796457794029266e-06
390.0051574707031 7.816136530891526e-06
390.0251770019531 7.83592986408621e-06
390.045166015625 7.855778676457703e-06
390.0651550292969 7.875714800320566e-06
390.0851745605469 7.895765520515852e-06
390.10516357421875 7.915872629382648e-06
390.12518310546875 7.936097063065972e-06
390.1451721191406 7.95637970441021e-06
390.1651916503906 7.976780580065679e-06
390.1851806640625 7.99723966338206e-06
390.2051696777344 8.017786967684515e-06
390.2251892089844 8.038455234782305e-06
390.24517822265625 8.059181709541008e-06
390.2651672363281 8.079996405285783e-06
390.2851867675781 8.100935701804701e-06
390.30517578125 8.121932296489831e-06
390.3251647949219 8.143019840645138e-06
390.3451843261719 8.164233804563992e-06
390.36517333984375 8.18550688563846e-06
390.3851623535156 8.206874554161914e-06
390.4051818847656 8.228367732954212e-06
390.4251708984375 8.249923666880932e-06
390.4451904296875 8.271609658550005e-06
390.4651794433594 8.2933574958588e-06
390.48516845703125 8.315202649100684e-06
390.50518798828125 8.337180588569026e-06
390.5251770019531 8.359224011655897e-06
390.545166015625 8.38136656966526e-06
390.565185546875 8.403643732890487e-06
390.5851745605469 8.425990017713048e-06
390.6051940917969 8.448469998256769e-06
390.62518310546875 8.471018190903123e-06
390.6451721191406 8.493669156450778e-06
390.6651916503906 8.516458365193103e-06
390.6851806640625 8.539317605027463e-06
390.7052001953125 8.562314178561792e-06
390.7251892089844 8.585380783188157e-06
390.74517822265625 8.608552889199927e-06
390.76519775390625 8.631866876385175e-06
390.7851867675781 8.655250894662458e-06
390.80517578125 8.678742233314551e-06
390.8251953125 8.702377272129524e-06
390.8451843261719 8.726083251531236e-06
390.86517333984375 8.749899279791862e-06
390.88519287109375 8.773862646194175e-06
390.9051818847656 8.797897862677928e-06
390.9252014160156 8.822083145787474e-06
390.9451904296875 8.846343916957267e-06
390.9651794433594 8.870719284459483e-06
390.9851989746094 8.895246537576895e-06
391.00518798828125 8.919852916733362e-06
391.0251770019531 8.944574801716954e-06
391.0451965332031 8.969454938778654e-06
391.065185546875 8.99441511137411e-06
391.0851745605469 9.019493518280797e-06
391.1051940917969 9.044731996254995e-06
391.12518310546875 9.070055057236459e-06
391.14520263671875 9.095536370296031e-06
391.1651916503906 9.121102266362868e-06
391.1852111816406 9.146833690465428e-06
391.2052001953125 9.17264878808055e-06
391.2251892089844 9.198589395964518e-06
391.2452087402344 9.224692803400103e-06
391.26519775390625 9.250885341316462e-06
391.2851867675781 9.277202480006963e-06
391.3052062988281 9.303689694206696e-06
391.3251953125 9.3302642198978e-06
391.3451843261719 9.356965165352449e-06
391.3652038574219 9.383838914800435e-06
391.38519287109375 9.410799975739792e-06
391.4051818847656 9.437892003916204e-06
391.4252014160156 9.465158655075356e-06
391.4451904296875 9.492519893683493e-06
391.4652099609375 9.520054845779669e-06
391.4851989746094 9.547683475830127e-06
391.50518798828125 9.575450349075254e-06
391.52520751953125 9.603400030755438e-06
391.5451965332031 9.631443390389904e-06
391.565185546875 9.65962954069255e-06
391.585205078125 9.688000318419654e-06
391.6051940917969 9.716472050058655e-06
391.62518310546875 9.745084753376432e-06
391.64520263671875 9.773892088560387e-06
391.6651916503906 9.802801287150942e-06
391.6852111816406 9.831903298618272e-06
391.7052001953125 9.8611071734922e-06
391.7252197265625 9.890509318211116e-06
391.7452087402344 9.920017873810139e-06
391.76519775390625 9.949677405529656e-06
391.78521728515625 9.979537026083563e-06
391.8052062988281 1.000950487650698e-05
391.8251953125 1.00396273410297e-05
391.84521484375 1.0069952622870915e-05
391.8652038574219 1.0100388863065746e-05
391.88519287109375 1.0130985174328089e-05
391.90521240234375 1.0161785212403629e-05
391.9252014160156 1.0192699846811593e-05
391.9452209472656 1.0223823665000964e-05
391.9652099609375 1.0255062079522759e-05
391.9851989746094 1.0286465112585574e-05
392.0052185058594 1.0318081876903307e-05
392.02520751953125 1.0349817785026971e-05
392.0451965332031 1.0381721949670464e-05
392.0652160644531 1.041384348354768e-05
392.085205078125 1.0446088708704337e-05
392.1051940917969 1.0478506737854332e-05
392.1252136230469 1.0511148502700962e-05
392.14520263671875 1.0543915777816437e-05
392.1651916503906 1.057686131389346e-05
392.1852111816406 1.061003695213003e-05
392.2052307128906 1.064339085132815e-05
392.2252197265625 1.0676876627258025e-05
392.2452087402344 1.0710546121117659e-05
392.2652282714844 1.074445026461035e-05
392.28521728515625 1.0778489013318904e-05
392.3052062988281 1.0812716936925426e-05
392.3252258300781 1.0847185876627918e-05
392.34521484375 1.0881790331040975e-05
